amd,rcm,padding,matrix_name,partial_gauss,_step,n,rank,_runtime,max_mode_size,z,tile_size,_timestamp,run_id,run_name
False,True,10,ex15,1,3.0,6876.0,27727.0,6.0077598094940186,191.0,98660.0,6.0,1718227780.1883287,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,4.0,6876.0,13739.0,6.601501941680908,191.0,98660.0,9.0,1718227780.7820709,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,5.0,6876.0,12327.0,6.930775880813599,191.0,98660.0,12.0,1718227781.1113448,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,6.0,6876.0,6966.0,7.149527549743652,191.0,98660.0,18.0,1718227781.3300965,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,7.0,6876.0,3465.0,7.352656602859497,191.0,98660.0,36.0,1718227781.5332255,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,8.0,6876.0,226.0,7.477649450302124,191.0,98660.0,191.0,1718227781.6582184,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,9.0,6876.0,64.0,7.602635622024536,382.0,98660.0,382.0,1718227781.7832046,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,10.0,6876.0,38.0,7.712538242340088,573.0,98660.0,573.0,1718227781.8931072,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,11.0,6876.0,25.0,7.8688061237335205,764.0,98660.0,764.0,1718227782.049375,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,12.0,6876.0,16.0,8.056304693222046,1146.0,98660.0,1146.0,1718227782.2368736,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,13.0,6876.0,10.0,8.259394884109497,1719.0,98660.0,1719.0,1718227782.4399638,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,14.0,6876.0,7.0,8.446947574615479,2292.0,98660.0,2292.0,1718227782.6275165,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,15.0,6876.0,4.0,8.650072574615479,3438.0,98660.0,3438.0,1718227782.8306415,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,16.0,6876.0,1.0,8.868778467178345,6876.0,98660.0,6876.0,1718227783.0493474,k1pcbozz,ruby-sweep-2401
False,False,10,ex15,0,0.0,6877.0,4663.0,1.2681255340576172,23.0,98671.0,13.0,1718227758.9222605,71lil4vi,magic-sweep-2400
False,False,10,ex15,0,1.0,6877.0,2071.0,1.5197699069976807,23.0,98671.0,23.0,1718227759.173905,71lil4vi,magic-sweep-2400
False,False,10,ex15,0,2.0,6877.0,67.0,1.644770860671997,299.0,98671.0,299.0,1718227759.2989058,71lil4vi,magic-sweep-2400
False,False,10,ex15,0,3.0,6877.0,37.0,1.7553329467773438,529.0,98671.0,529.0,1718227759.409468,71lil4vi,magic-sweep-2400
False,False,10,ex15,0,4.0,6877.0,1.0,1.9428761005401611,6877.0,98671.0,6877.0,1718227759.597011,71lil4vi,magic-sweep-2400
False,True,10,ex15,0,0.0,6877.0,11409.0,1.3126134872436523,23.0,98671.0,13.0,1718227747.7453334,4lv2gs3x,noble-sweep-2399
False,True,10,ex15,0,1.0,6877.0,6381.0,1.5782475471496582,23.0,98671.0,23.0,1718227748.0109675,4lv2gs3x,noble-sweep-2399
False,True,10,ex15,0,2.0,6877.0,101.0,1.70442533493042,299.0,98671.0,299.0,1718227748.1371453,4lv2gs3x,noble-sweep-2399
False,True,10,ex15,0,3.0,6877.0,41.0,1.829392671585083,529.0,98671.0,529.0,1718227748.2621126,4lv2gs3x,noble-sweep-2399
False,True,10,ex15,0,4.0,6877.0,1.0,2.0169477462768555,6877.0,98671.0,6877.0,1718227748.4496677,4lv2gs3x,noble-sweep-2399
